fine_label	utterance
flight	show me flights arriving in baltimore from pittsburgh between 4 and 5 pm
airfare	show me all the cheapest fares from new york to miami leaving on tuesday
unk	show me the fares from dallas to san francisco
ground_service	i need ground transportation in seattle
airport	what is the name of the airport at denver
flight	show me one way flights from milwaukee to orlando
flight_time	what time does the earliest flight which goes from atlanta to denver leave
flight	show me flights from boston to san francisco arriving before 1 pm
flight	i would like information on flights from denver to san francisco after noon on wednesday
unk	show me the flights from philadelphia to baltimore
quantity	how many first class flights does united have today
flight	what afternoon flights are available from denver to san francisco on wednesdays
airfare	hi i want a round trip ticket to dallas
flight	what is the most expensive flight from boston to dallas
flight	do any of the continental flights from boston to san francisco stop in denver
ground_service	what ground transportation is available from pittsburgh to downtown
aircraft	what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas
flight	show me the flights from boston to oakland
airline	which airlines fly between baltimore and san francisco
flight	please show me the return flights from miami to new york
ground_service	what ground transportation is there in atlanta
ground_service	what is the ground transportation available in fort worth texas
flight	which flights are between boston and baltimore washington
flight	i 'd like to go from boston to denver at 9 o'clock saturday night
restriction	what is restriction ap57
flight	i 'd like to see all the flights from boston to philadelphia
flight	do you have a flight on wednesday from denver to washington dc nonstop
flight	find travel arrangements for a round trip flight from baltimore to pittsburgh
flight	show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth
aircraft	what types of aircraft does delta fly
flight	what continental flights go from chicago to seattle before 10 am in the morning that have a meal
flight	show me nonstop flights from miami to new york with coach class fares
flight	thank you very much now can you help me with information on flights from boston to atlanta
flight	give me the latest northwest airlines flight from milwaukee to tacoma tomorrow
flight	please repeat the flight departures for monday august nineteenth from denver to pittsburgh
flight	what flights leave washington dc and arrive in san francisco on wednesday
flight	okay i need to get a flight from houston to seattle
airfare	what is the cost of a first class ticket from baltimore to dallas
flight	all flights from washington to san francisco leaving after 2
flight	i would like to know the flights that are available leaving out of pittsburgh to san francisco on thursday night after 9 pm
flight	show me all flights from indianapolis to montreal
flight	what are all the flights into atlanta 's airport
flight	i need a flight from philadelphia to dallas
flight	show me all flights from san francisco to boston philadelphia or baltimore
flight	show me the continental flights with meals which depart seattle on sunday for chicago
airfare	what are the cost of morning flights from atlanta to baltimore
flight	show me the latest flight from salt lake city to phoenix
flight	show me the cheapest flights from san francisco to philadelphia
flight	i 'd like to book a flight from atlanta to denver
flight	i would like information on flights from san francisco to pittsburgh leaving after 8 pm monday night
unk	how do i get from boston to pittsburgh
flight	are there any flights from new york to los angeles which stop over in milwaukee
flight	anything from baltimore or washington with a stopover in denver going to san francisco
flight	what is the earliest flight going from san francisco to dallas on monday august nineteenth
quantity	how many first class flights does united have leaving from all airports today
airfare	i would like the least expensive airfare flight on sunday to pittsburgh from san francisco
flight	give me the continental flights from chicago to seattle on friday
airfare	what are the coach fares for flights from charlotte to newark tuesday evening
flight	okay can you tell me the flight cost between denver and atlanta
flight	flights between new york and miami
airfare	how much does flight dl 402 from denver to philadelphia cost
flight	please show me the flights available from san francisco to pittsburgh on tuesday
flight_time	show me the schedule for airlines leaving pittsburgh going to san francisco for next monday
flight	what flights does american airlines fly from philadelphia to dallas
airfare	what are the prices of the flights from dallas to baltimore
flight	is there a nonstop flight from denver to san francisco
flight	find the flights from boston to san francisco leaving after 6 pm
city	is bwi washington
airfare	show business class fares on us air from boston to toronto
flight	show me all the flights from cincinnati to toronto
flight	i would like to schedule a flight on american airlines from philadelphia to san francisco that makes a stop in denver
flight	i would like a us air flight from toronto to san diego with a stopover in denver please
unk	what flights from los angeles to minneapolis
ground_service	how do i get to philadelphia downtown from the airport
flight	where does flight ua 281 from boston to oakland stop
flight	what flights leave after 7 pm from boston to pittsburgh
flight	show flights between boston and philadelphia
airline	which airlines have flights from denver to pittsburgh
airfare	july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from denver going to baltimore
abbreviation	what is the fare code y and what is the fare code h
flight	find travel arrangements for a round trip flight from baltimore to pittsburgh
flight	now i 'd like to see flights from detroit to st. petersburg on the next tuesday
airfare	what is the cheapest one way fare from boston to washington
flight	instead of denver can i have the same flight from toronto to san diego but stopping in dallas fort worth
airport	airports in new york
unk	are there any flights from atlanta to baltimore
flight	all flights from sfo to long beach
flight	show me the most expensive one way flight from detroit to westchester county
flight	what flights go from san francisco to denver on mondays
flight+airfare	show me all flights and fares from dallas to san francisco
flight	thanks and what 's the last flight back from washington to boston
flight	show me the flights from pittsburgh to philadelphia
flight	find travel arrangements for a round trip flight from dallas to pittsburgh
flight_time	what time does twa depart from boston to go to san francisco
flight	i need to go to san diego from toronto but i want to stopover in denver
quantity	how many flights does american airlines have from boston to atlanta
abbreviation	explain the fare codes
flight	show me flights between memphis and las vegas on sunday
flight	now i want to see return flights from miami to new york
ground_service	show me the ground transportation in denver
abbreviation	what does fare code qx mean
flight	i would like information on flights from philadelphia to oakland california on friday afternoon
flight	show me the flights from boston to atlanta and the return flights from atlanta to boston
ground_service	what ground transportation is available in san francisco
flight	show me the flights from dallas to atlanta
flight	show me the nonstop flights from dallas to houston
airport	give me a list of airports in baltimore
airline	what airline is dl 98
flight	show me the flights from toronto to cincinnati
unk	what kind of ground transportation is there in washington dc
flight	show me the flights next tuesday between philadelphia and san francisco
airfare	give me the round trip coach fare from dallas to baltimore
airfare	what is the cost of a flight from boston to denver
flight	oakland to philadelphia
airfare	what are the lowest one way fares from atlanta to pittsburgh
flight	what flights are there from new york city to las vegas
airfare	please give me the cheapest round trip airfare from atlanta to philadelphia on august the first
flight	what are the flights available after 6 pm between san francisco and boston
flight_time	what time are flights from denver to san francisco on continental airlines
flight	show me flights to philadelphia coming from baltimore or denver or pittsburgh
flight	show me the flights from denver to atlanta on friday
flight	i wish to fly from boston to washington please find an airline for me
flight	what delta leaves boston for atlanta
flight	i want to leave philadelphia and arrive in atlanta on a thursday
flight	what delta flights fly from washington to dallas in the morning
flight	before 10 o'clock on tuesday is there a 747 that flies from baltimore to san francisco
city	which cities are serviced by both american and delta airlines
ground_service	i will be staying downtown in atlanta for two hours could you tell me what the ground transportation is available
flight	what are all flights from san francisco to philadelphia with stops in pittsburgh
flight	what flights are available friday afternoon from atlanta to dallas
quantity	how many flights does each airline have with first class service
flight	show me the one way flight from detroit to westchester county with the highest fare
flight	flights from cincinnati to los angeles departing after 718 am
ground_service	ground transportation dallas
flight	i 'm looking for a flight from pittsburgh to san francisco
aircraft	what aircraft has the largest seating capacity
airport	please show me all airports in denver
flight	i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm
flight	do you have a flight from charlotte to atlanta on june first
flight	what are my choices of flights leaving early afternoon from minneapolis to indianapolis
flight	yes i live in washington and i want to make a trip to san francisco which airlines may i use for this trip
flight	tell me about flights on american airlines from dallas to san francisco on june twenty ninth
aircraft	what kinds of planes are used by midway airlines
flight	is there a united airlines flight from miami to washington dc arriving around noon
flight	show me the evening flights from atlanta to boston
flight	give me flights that arrive in baltimore from atlanta denver and pittsburgh
flight	flights from boston to pittsburgh
flight	please list the flights from new york to miami on a tuesday
flight	show me the flights from san francisco to boston on august thirty first
flight	what is the least expensive flight from atlanta to boston
flight	show me the flights on twa from atlanta in the morning
flight	i need the cheapest direct flight from atlanta to denver leaving on may seventh
airline	does any airline offer dc10 service between denver and boston
unk	what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma
aircraft	what kind of aircraft do you have flying from boston to san francisco on august twenty seventh
flight	show me the flights from washington to boston
flight	may i have a listing of flights from long beach to columbus ohio on tuesday
ground_service	describe ground transportation in dallas
ground_service	show me ground transportation in washington dc
airline	does any airline have an afternoon flight from atlanta to boston
flight	show me the flights from san francisco to boston
flight	what 's the cheapest flight from atlanta to baltimore
flight	all flights from denver colorado to pittsburgh pennsylvania
flight	what are the flights in the month of december from atlanta to denver which stop in boston
abbreviation	what does the abbreviation co mean
airfare	what 's the lowest round trip fare from dallas to atlanta
airfare	can you show me economy class one way fares for flights from oakland to dallas on december sixteenth
ground_service	ground transportation between airport and downtown in boston
flight	all flights pittsburgh to baltimore on thursday arrival by 10 am
unk	on april sixth i would like to book an early morning flight from tampa to charlotte
airline	which airline is the cheapest to fly from dallas to baltimore on december twenty fourth
flight	denver to san francisco wednesday
flight	show me the flights leaving charlotte to atlanta around 7 pm next tuesday
flight	philadelphia to san francisco
flight	show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon
flight	what is the earliest flight from boston to washington
flight+airfare	show all flights and fares from pittsburgh to san francisco
flight	what flights do you have from baltimore to san francisco
flight	show me the flights from all airports to love field
flight	flights on friday from newark to tampa
abbreviation	fare code y what does that mean
flight	list flights leaving denver and arriving in orlando on saturday departing after 12 pm
flight	fly from dallas to baltimore
unk	what are the flights from milwaukee to orlando on wednesday night
unk	list all flights from denver to philadelphia
flight	and flight from oakland to boston leaving after midnight
flight	i would like a nonstop flight from jfk to las vegas on march second
flight	oh let 's see does eastern airline have a flight from atlanta to washington
flight	flights between milwaukee and orlando one way
flight	does midwest express serve baltimore
flight	list all flights from baltimore to san francisco on friday
flight	does us air have a flight from toronto to salt lake city monday may thirty first
flight	i 'd like to fly from tampa to montreal
flight	show me all flights from san francisco to washington dc area
flight	show me flights with first class reservations from san francisco to pittsburgh for monday
ground_service	what ground transportation is available in denver
flight	give me morning flights from charlotte to baltimore
flight	what is the earliest flight from denver to san francisco on the morning of august twenty seventh
airline	which airlines fly from boston to washington dc via other cities
flight	show me the flights from baltimore to oakland
flight	show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth
flight	please give me direct morning flights from pittsburgh to atlanta
ground_service	rental cars in washington dc
flight	please show me flights from denver to san francisco on wednesday after 1300 hours
flight	show me all the united flights from boston to denver
flight	tell me the last flight from atlanta to philadelphia
quantity	how many first class flights does delta have today
flight	please list the afternoon flights from charlotte to minneapolis
flight	show me flights denver to washington on thursday
flight	i would like to travel from boston to denver
distance	how far is oakland airport from downtown
flight	please list the cheapest flights from dallas to baltimore arriving on may seventh
flight	show me all flights from pittsburgh to dallas
airfare	show me fares from baltimore to philadelphia
flight	i would like a list of flights from pittsburgh to dallas
flight	which northwest and united flights go through denver before noon
flight	now show me the flights from pittsburgh to baltimore
flight	show me flights from denver to atlanta on june sixteenth
flight	what flights from new york to los angeles
airline	what airlines fly between boston and san francisco
flight	please list all flights on northwest and united airlines that go to denver
flight	i would like a flight as early as possible in the day leaving from boston and to denver
distance	how long does it take to get from denver to oakland
flight	show flights from new york city to las vegas
airfare	could you please give me the cost of a round trip flight from denver to pittsburgh
airfare	show me prices of flights from baltimore to dallas
flight	list the flights on friday afternoon from philadelphia to oakland
flight	philadelphia to boston monday
airfare	show me fares from seattle to minneapolis
flight	what is the earliest flight between logan and bwi
flight	what flights are available wednesday morning from boston to denver
flight	flying from pittsburgh to philadelphia on us air
flight	what are the cheapest flights from denver to pittsburgh that stop in atlanta
flight	i 'd like to fly from dallas to san francisco at approximately 615 pm
flight	show me the evening flights from atlanta to washington on wednesdays
flight	show me flights from dallas to atlanta on tuesday
airfare	show me round trip fares from las vegas to houston nonstop
ground_service	is there ground transportation in st. louis
flight	show sunday flights from seattle to chicago
ground_service	show me boston ground transportation
flight	show me the flights from baltimore to philadelphia
flight	i 'd like to fly from philadelphia to san francisco through dallas
flight	i need to go from boston to denver and then to san francisco
abbreviation	what is as
flight	what is the earliest american airlines flight leaving philadelphia for dallas
flight	what is the earliest flight from boston to san francisco that serves a meal
flight	show me the cheapest one way flights from dallas to san francisco leaving dallas after 4 pm
unk	what 's the lowest round trip fare from dallas to baltimore
flight	i need to know a list of flights from atlanta
flight	show me your flights from atlanta to denver on june fourth
flight	show me early friday morning flights from san francisco to boston
flight	i 'd like to go from st. paul to kansas city on friday with a meal
distance	how long does it take to fly from boston to atlanta
flight	show me the direct flights from san francisco to boston
flight	does continental airlines fly from denver to san francisco
airfare	show me round trip tickets from new york to miami
ground_service	what is the ground transport in denver
unk	okay i 'd like a nonstop flight from houston to memphis that arrives in memphis in the early afternoon on tuesday june first
aircraft	i 'm traveling from boston to atlanta and i 'd like to go sometime after 5 pm but i want to know what kind of airplane it 's on
airline	which airline can fly me from atlanta to denver to san francisco
flight	give me the flights from baltimore to pittsburgh
flight	on july twenty third an early flight on american from philadelphia to san francisco
flight	list the flights from philadelphia to dallas on american airlines
flight	list all tuesday night flights from boston to denver
flight	show me what flights are available from baltimore to dallas with economy fares
ground_service	is there ground transportation in oakland
flight	show me flights from pittsburgh to philadelphia
unk	how much does dl 746 cost
abbreviation	what is restriction ap 57
airfare	show me the first class fares from baltimore to dallas
flight	show me the flights from pittsburgh to los angeles on thursday
flight	what are the flights from boston to philadelphia
flight	display all flights from dallas to boston on july thirtieth
ground_service	tell me about ground transportation at salt lake city
flight	i 'd like to get a flight from washington to oakland with a stopover in dallas fort worth for september fifteenth
flight	flights from phoenix to milwaukee on wednesday evening
airfare	show me fares from philadelphia to san francisco on thursday morning
flight	may i have a listing of flights on monday from minneapolis to long beach california please
flight	show me the flights from dallas to baltimore
flight	what flight from boston to baltimore is the least expensive flight
flight	give me the flights with the fares from indianapolis to orlando on december twenty seventh
flight	i need to go from philadelphia to dallas
ground_service	show me ground transportation in boston and in baltimore
ground_fare	how expensive is the san francisco limousine service
flight	show me all flights from charlotte
airfare	what are the costs of flights from dallas to boston tomorrow
ground_service	is there ground transportation from the airport in denver to downtown
flight	i 'd like a first class flight from denver to baltimore on january first
flight	please show me flights from boston to denver with a stopover in philadelphia
abbreviation	what is the abbreviation d10
flight	what flights go from boston to atlanta next tuesday
flight	what are the flights between dallas and pittsburgh on july eight
flight	find the earliest flight from boston to oakland that serves breakfast
flight	i want to fly from milwaukee to orlando
flight	phoenix to denver
flight	what 're the flights from new york city to las vegas that arrive on a sunday
flight	i need to make a trip starting in boston going to dallas denver oakland and back to boston
airfare	show me the fare for us flight 3357 from philadelphia to baltimore
airfare	what is the fare going from baltimore to atlanta one way on november seventh
flight	flights from phoenix to milwaukee
flight	show flights from boston to denver on wednesday morning
flight+airfare	give me the flights and fares on december twenty seventh from indianapolis to orlando
abbreviation	what does code yn mean
ground_service	tell me about ground transportation at san francisco
flight	please list the monday morning flights from kansas city to atlanta
flight	list flights from philadelphia to dallas
abbreviation	what does fare code y mean
flight	give me the flights from washington dc to philadelphia for december second
airline	what airline is as
flight	does continental fly from boston to san francisco with a stop in denver
flight	what is the earliest flight from boston to denver
flight	give me a flight from new york city to las vegas and a flight from memphis to las vegas that arrive at the same time
flight	show flights leaving miami to cleveland on us air that leave after noon
flight	looking for a flight from dc to denver colorado
airline	what airline is dl
ground_service	show me the ground transportation to westchester county
flight	i need a flight from denver to washington dc on wednesday
flight	show me the afternoon flights from washington to boston
airfare	what 's the cheapest one way ticket from baltimore to atlanta
flight	i would like information on any flights from pittsburgh to san francisco leaving thursday evening
flight	show me the flights from san francisco to dallas
flight	i would like a twa flight from atlanta to san francisco with a stopover in denver
ground_service	what kind of ground transportation is there once i get to dallas
flight	what are the flights from tacoma to san jose also on tuesday the eighteenth of may
flight	all round trip flights between new york and miami business class fare
flight	show morning flights from philadelphia to dallas
capacity	what is the seating capacity of a boeing 767
flight	i 'd like to book a flight from denver to pittsburgh and i 'd like to go on eastern airlines
flight	i want to fly from milwaukee to orlando
flight_time	what time does the tuesday morning 755 flight leaving washington arrive in san francisco
ground_fare	what price is a limousine service to new york 's la guardia
flight	show me the flights that go from san diego to newark with one stop in houston
flight_time	show me times for flights from san francisco to atlanta
flight	are there any flights from boston to oakland that stop
flight	please give me a flight from boston to atlanta before 10 am in the morning
flight	what flights are available from san francisco to pittsburgh on thursday evening
flight	i would like a flight from denver to pittsburgh
airfare	what are the prices of these flights
flight	list the flights from baltimore to seattle that stop in minneapolis
flight	what flights are there from baltimore to newark
flight	show me first class round trip flights from new york to miami i want the cheapest first class fare please
ground_service	show me dallas ground transport
quantity	list the total number of flights between all airports by delta
flight	does midwest express serve indianapolis
flight	list daily flights from boston to oakland using continental airlines
flight	from atlanta to washington dc
flight	are there any flights next monday morning from pittsburgh to san francisco
airfare	show me the one way fares from san diego to miami nonstop
airport	does the philadelphia airport have a name
flight	show me the latest flight from san francisco to denver
flight	i would like to fly from dallas to denver on the morning of august twenty seventh leaving at 650
flight	what flights leave from phoenix
flight	what is the earliest morning flight leaving boston for washington
airfare	fares between atlanta and boston
ground_service	what limousine service in toronto
flight	could you show me all weekday flights from phoenix to denver
flight	what flights do you have in the morning of september twentieth on united airlines from pittsburgh to san francisco and a stopover in denver
flight	what flights from montreal to las vegas on saturday
flight	what is the cheapest way to travel round trip from milwaukee to san francisco
flight	what flights from kansas city to denver after 845 in the morning
flight	can you list all flights between milwaukee and chicago
flight	show me the flights from baltimore to dallas
airline	airline code as
airline	show me airline abbreviations
flight	which flights on northwest and united airlines stop in denver before noon
airline	tell me which airlines have flights from pittsburgh to san francisco on monday september second
unk	i want a flight from atlanta to pittsburgh
ground_service	please show me ground transportation in denver
flight	list all the takeoffs and landings at general mitchell international
ground_service	what kind of ground transportation is there in philadelphia
unk	flights from denver to baltimore between 10 am and 2 pm
flight	flights from washington dc to denver
flight	information on flights from baltimore to philadelphia
flight	flight from denver to san francisco in the afternoon
flight	what are the flights from atlanta to baltimore
flight	find me a flight from boston to san francisco with a layover in denver
flight	show me all flights between san francisco and philadelphia for september fifteenth
flight	i need a flight from pittsburgh to new york leaving at 5 pm
flight	which northwest flights stop in denver before noon
ground_service	what car rentals are available next sunday from denver airport
flight	i 'd like to go from boston to pittsburgh to find the cheapest flight
flight	show me flights from denver to philadelphia arriving after 2100
flight	list all the takeoffs and landings at general mitchell international
flight	show me the flights from atlanta to philadelphia
airline	list all the airlines flying between washington and denver
flight	i 'd like to take a flight from washington dc stop in denver and with my final destination as san francisco
abbreviation	what does the abbreviation dl mean
flight	show united flights between pittsburgh and baltimore
flight	looking for a flight from denver to salt lake city
airport	what airport is at tampa
flight	i need a flight from boston to denver
flight	give me the flights from salt lake city to new york city arriving before 6 pm
flight	what flights are there on sunday from seattle to chicago
airfare	what is the cheapest fare from washington to san francisco leaving on september thirtieth
abbreviation	what does restriction ap 57 mean
flight	what are all monday flights from denver to san francisco on united airlines
flight	show me the earliest flight on wednesday from baltimore to newark
flight	sunday flights from new york city to las vegas
flight	what flights from kansas city to chicago arrive at chicago at 7 pm next wednesday
flight	list all flights on continental leaving seattle on sunday after 430 pm
flight	does continental fly from denver to pittsburgh
airline	which airlines have first class flights today
airfare	hi could i get a one way ticket from milwaukee to orlando
flight	flights from newark new jersey to cleveland ohio
ground_service	show me the ground transportation schedule in philadelphia in the morning on wednesday
aircraft	i need to find a plane from boston to san francisco on friday
flight	i need a flight from cincinnati to san jose leaving after 6 in the evening
flight	i need a flight from chicago to dallas on continental on june fifth
flight	show me flights from pittsburgh to atlanta on monday afternoon
unk	i would like to book a flight from baltimore to san francisco before 12 o'clock on tuesday
flight	could you please tell me the first flight leaving baltimore to san francisco on a 747 on august twenty seventh
airline	what airlines go from atlanta to baltimore
ground_service	show me ground transportation information for pittsburgh
flight	show me flights from baltimore to philadelphia
airfare	show me all prices of first class from baltimore to dallas
flight	display all flights from st. petersburg and charlotte flights should leave after noon arrive after 5 pm nonstop flight
flight	what 's the last flight from atlanta to boston
aircraft	please inform me the type of aircraft used on a flight from atlanta to denver before 12 o'clock noon
flight	show me the flights leaving from love field
flight	what 's the cheapest flight from dallas to baltimore on december seventeenth
flight	i live in washington and i would like to make a trip to san francisco can you tell me which airlines connect with those two cities
flight	find travel arrangements for a round trip flight from dallas to pittsburgh
flight	all flights from montreal less than 150 dollars
flight	i 'd like to fly from san francisco to boston with a stopover in dallas fort worth and i want to fly on delta airlines
flight	can you tell me the flights on october fifteenth 1991 from boston to oakland
flight	give me a flight from philadelphia to denver on sunday
flight	can you list flights from washington to toronto with the lowest one way fares
flight	show me all flights from denver to philadelphia on saturday after sunday which leave after noon
airline	can i take a single airline from la to charlotte to newark back to la
flight	shortest flights from nashville to st. petersburg
flight	i would like to fly from philadelphia to dallas
airfare	show me all fares between philadelphia and san francisco that are less than 200 dollars one way
airfare	how much is a round trip fare from memphis to seattle
flight	what are the flights from denver to baltimore on august tenth
airline	what airlines flies out of atlanta
airfare	i 'd like to find the cheapest one way fare from baltimore to denver
airline	list all the airlines that service denver
unk	does american airlines fly to san francisco from atlanta
flight	i want to leave from philadelphia and go to atlanta baltimore and boston please list these flights
flight	american flights from chicago to los angeles morning
airfare	show me one more time the first class fares from baltimore to dallas
ground_service	show me ground transportation in baltimore
flight	show me all flights from oakland to philadelphia on saturday which serve a meal and arrive in philadelphia before noon
airfare	list all round trip fares from pittsburgh to washington dc
unk	explain the restriction ap 57
flight	i 'd like to find a flight from tampa to montreal that makes a stop in new york
flight	show me all flights from san diego to new york nonstop
flight	what flights are available monday from san francisco to pittsburgh
flight	show me the flights from san francisco to washington dc
flight	show me the american airline flights leaving phoenix on wednesday and arriving in milwaukee
flight	list the american airlines flights from dallas to san francisco
ground_service	what kind of ground transportation is available in denver
flight	what are the flights from boston to san francisco
flight	i need a flight from philadelphia to dallas that stops in atlanta
flight	show me all flights from philadelphia to san francisco with one stop in dallas
flight	i need to know information for flights leaving dallas on tuesday evening and returning to atlanta
flight	weekday flights from san francisco to denver
flight	show me flights on september twenty sixth please
flight	okay on monday may thirty first i 'd like to go from san diego to phoenix early in the morning
flight	i would like to book a flight from chicago to seattle on june first
flight	please list the twa flights from las vegas to new york and fare
flight	please list all flights between boston and san francisco nonstop
flight	list flights between oakland and san francisco
flight	show me the flights out of love field
flight	show me flights from boston to washington leaving july fifteen
airfare	what 's the cheapest fare from san francisco to baltimore
flight	what flights go from newark to boston after 1024 in the morning
flight	information of a flight from atlanta to pittsburgh
flight	show me cheap flights from baltimore to dallas
flight	list all american airlines from milwaukee to phoenix on saturday
flight	show me the dinner flights from baltimore to oakland
flight	what are the flights from boston to san francisco
ground_service	i would like information on ground transportation in atlanta from the airport to the city in the morning around 9 am
flight	show me the flights from baltimore to boston
flight	please list the friday night flights from st. paul to kansas city
ground_service	what is the schedule of ground transportation from the airport in philadelphia into downtown
flight	show me all round trip flights between houston and las vegas
flight	i need a flight from san francisco to philadelphia
flight	what is the earliest flight leaving boston and going to washington on september third
flight	give me all the flights from new york to miami round trip with costs less than 466 dollars
flight	give me a flight from charlotte to baltimore on tuesday morning
airfare	round trip fares from denver to philadelphia under 1000 dollars
flight	flights from kansas city to cleveland and price
unk	i need flight information on saturday for a flight from philadelphia to dallas
flight	show me the flights from westchester county to cincinnati
flight	the most expensive flight between boston and philadelphia
flight	now please give me the latest flight tomorrow on twa from milwaukee to tacoma
aircraft	what type of aircraft is used on the flight from atlanta to philadelphia before 12 o'clock noon
flight	what are the flights available in the morning between denver and san francisco
flight	what flights from kansas city to chicago leave next wednesday returning the following day
flight	show me all the flights to baltimore from denver or philadelphia or pittsburgh
flight	what are flights between boston and pittsburgh on august tenth
flight	is there a red eye flight from san jose to nashville on wednesday the nineteenth of may
aircraft	display types of aircraft departing from cleveland to dallas before noon
flight	i 'd like to book the cheapest one way flight from denver to pittsburgh on july fifteenth
airfare	do you have the fare for traveling from oakland airport to oakland downtown
flight	i would like a flight leaving from boston arriving in san francisco with a stopover in atlanta
flight	do you have a flight from atlanta to charlotte north carolina next monday
airfare	round trip first class fares new york to miami
flight	display all flights from pittsburgh to san francisco on august second
unk	show me all flights from denver to pittsburgh which serve dinner
flight	list all flights leaving denver on continental on sunday after 2134
flight	what is your last flight leaving san francisco and arriving in denver
flight	oakland to san francisco please breakfast flight
aircraft	what planes does united use
flight_time	now i 'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta
airfare	what are the fares from newark to la monday and wednesday
flight	what flights go from chicago to seattle on continental airlines on saturday
flight	please list the flights from new york to los angeles
flight	show all flights leaving monday morning from boston to pittsburgh
flight	what flights are available on sunday to pittsburgh from san francisco
city	where is mco
unk	show me all flights from dallas to pittsburgh which leave on monday after 8 o'clock am
unk	what does the abbreviation ua mean
airfare	round trip fares from denver to philadelphia less than 1000 dollars
flight	flights from kansas city to cleveland on wednesday arriving before 5 pm
flight	show me flights from boston to denver on tuesday
flight	give me a flight between boston and denver
flight	please list all first class flights on united from denver to baltimore
abbreviation	what is fare code q
flight	what flights go from baltimore to newark wednesday morning
flight	yes i would like to find what flights are available from atlanta to boston on the morning of july seventh
flight	give me nonstop flights from new york city to las vegas
flight	i want to fly from boston to denver with a stop in philadelphia
flight	flights from milwaukee to orlando one way
airfare	show me the cheapest fares from miami to new york leaving on a sunday
flight	what do you have from philadelphia to dallas on saturday morning
flight	i want to fly from baltimore to dallas round trip
flight	i now need a flight from san jose to houston leaving on sunday the fourth
abbreviation	is fare code b the same as business class
ground_service	what ground transportation is available into washington
unk	i need a flight this sunday from miami to las vegas and i would prefer a morning flight
flight	tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth
flight	show me first class flights from pittsburgh to san francisco on friday
flight	show me flights from san francisco to pittsburgh on a sunday
flight	show me all flights between boston and washington
flight	flights from newark new jersey to cleveland ohio
flight	list the flights from denver to san francisco after 2 pm on a monday
ground_fare	what are the costs of car rental in dallas
flight	show me the flights from denver that go to pittsburgh and then atlanta
flight	i would like a flight from san francisco to pittsburgh on friday morning after 10 o'clock
flight	show me all flights from oakland to philadelphia on saturday which serve a meal
flight	show me the cheapest flights from atlanta to denver
flight	what flights are provided by american airlines
airline	which airlines fly from boston to washington dc
flight	flights from cleveland to kansas city
unk	i want a return flight from washington to dallas on american airlines
flight	an early flight on wednesday morning from baltimore to newark
flight	i want a flight from pittsburgh to los angeles that departs after 6 pm on thursday
flight	is there a direct flight from atlanta to philadelphia that arrives in philadelphia around 12 noon
airport	please list information regarding san francisco airport
unk	what flights are available from boston to washington dc late the twenty fifth or early the twenty sixth
flight	please list flights between san francisco and denver
flight	i would like to fly from denver to pittsburgh
flight	please list all flights from san francisco to pittsburgh on sunday
flight+airfare	please give me a list of all the flights between dallas and baltimore and their cost
flight	i need a flight from montreal quebec to san diego california leaving this sunday
unk	what flights are there from new york to las vegas
flight	list all the flights from atlanta to charlotte north carolina that leave next monday
flight	display flights from dallas to atlanta which depart between 2 pm and 6 pm
flight	show me the flights arriving on baltimore on june fourteenth
flight	are there any flights from denver to pittsburgh with a stopover in atlanta
flight	i need a flight from ontario to los angeles on a thursday
flight	i would like to book a flight from chicago to seattle on june fourth
airline	please show me airlines with flight service from boston to denver from denver to philadelphia and from philadelphia to boston
flight	what are the flights from pittsburgh to denver
flight	does american airlines offer a flight from boston to oakland which stops in denver
airport	what 's the name of the denver airport
flight	what flights from orlando to tacoma on saturday
unk	show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7 pm
abbreviation	what does the fare code y mean
flight	what flights from detroit to st. petersburg
flight	okay i 'd like a flight on us air from indianapolis to san diego in the afternoon what 's available
flight	all flights from miami to new york
airfare	what is the cheapest one way fare from denver to pittsburgh
flight	show me the flights from baltimore to oakland
abbreviation	what is ua
flight+airfare	all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars
flight	list flights from denver to san francisco no denver to philadelphia
flight	flights from los angeles to pittsburgh
flight	give me morning flights from atlanta to baltimore
airline	which airlines serve pittsburgh
flight	can you list the latest flights from oakland to salt lake city on wednesday
flight	is there a flight on american airlines from boston to denver
airfare	what are the lowest one way fares from pittsburgh to atlanta
flight	what is the earliest flight flying from pittsburgh to atlanta on july fifth
airfare	i 'd like the cheapest cost fare to fort worth from boston
capacity	what is the seating capacity for the f28
flight	what flights go from newark to boston after 5 pm
flight	may i see all the flights from cleveland to dallas
flight	may i fly from san francisco to baltimore
flight	i want to fly dallas to san francisco on monday july eighth
flight	i 'm looking for a flight from oakland to denver with a stopover in dallas fort worth
flight	i need a flight from new york city to montreal thursday may six
